Disease,Symptom1,Symptom2,Symptom3,Symptom4,Causes,Medicines,Diets,Workout,Precaution1,Precaution2,Precaution3,Precaution4
AIDS,Fever,Fatigue,Weight loss,Frequent infections,Human Immunodeficiency Virus (HIV) infection," [""Zidovudine"", ""Lamivudine"", ""Efavirenz""] ","High-protein meals, fresh fruits and vegetables, whole grains","Arm circles, Shoulder shrugs, Neck rotations",Practice safe sex,Avoid sharing needles,Maintain a healthy diet,Regular medical checkups
Acne,Pimples,Blackheads,Whiteheads,Skin inflammation,"Excess sebum, clogged pores, bacteria, hormonal changes"," [""Benzoyl Peroxide"", ""Clindamycin"", ""Isotretinoin""] ","Low-glycemic foods, omega-3-rich fish, antioxidant-rich fruits","Leg lifts, Core strengthening, Seated leg extensions",Clean face gently,Avoid oily cosmetics,Use prescribed medications,Keep hair away from face
Alcoholic Hepatitis,Jaundice,Abdominal pain,Fatigue,Nausea,Excessive alcohol consumption," [""Prednisolone"", ""Pentoxifylline"", ""Vitamin B Complex""] ","Low-fat diet, high-fiber foods, plenty of water","Back stretches, Side leg raises, Core stability exercises",Stop alcohol consumption,Eat a balanced diet,Regular liver checkups,Stay hydrated
Allergic Reaction,Hives,Swelling,Itching,Shortness of breath,"Exposure to allergens (food, pollen, drugs, insect stings)","   [""Cetirizine"", ""Loratadine"", ""Epinephrine""] ","Anti-inflammatory foods, vitamin C-rich fruits, leafy greens","Lunges, Squats (if advised), Heel-to-toe walks",Avoid known allergens,Carry emergency medication,Wear a medical alert bracelet,Inform others about allergies
Allergy,Sneezing,Runny nose,Itchy eyes,Skin rash,Immune system response to allergens," [""Fexofenadine"", ""Diphenhydramine"", ""Montelukast""] ","Fresh fruits, gluten-free grains, omega-3 sources","Low-impact aerobics, Pilates, Tai Chi",Limit exposure to allergens,Use air purifiers,Take antihistamines as prescribed,Wash hands after outdoor exposure
Anxiety Disorder,Restlessness,Rapid heartbeat,Sweating,Irritability,"Genetics, stress, brain chemistry, traumatic events"," [""Sertraline"", ""Diazepam"", ""Escitalopram""] ","Magnesium-rich foods, herbal teas, complex carbs","Swimming, Stationary cycling, Resistance band exercises",Practice relaxation techniques,Maintain regular sleep,Limit caffeine and alcohol,Seek therapy
Appendicitis,Lower right abdominal pain,Nausea,Vomiting,Fever,"Blockage of appendix opening, infection"," [""Piperacillin-Tazobactam"", ""Ceftriaxone"", ""Metronidazole""] ","Clear liquids (pre-surgery), high-fiber (post-recovery), low-fat foods","Knee strengthening, Hip stretches, Low-impact cardio",Seek immediate medical attention,Avoid eating or drinking if suspected,Do not use painkillers without doctor‚Äôs advice,Rest after surgery
Arthritis,Joint pain,Swelling,Stiffness,Reduced motion,"Inflammation, autoimmune disease, wear and tear, infections","    [""Ibuprofen"", ""Methotrexate"", ""Naproxen""] ","Anti-inflammatory foods, fatty fish, colorful vegetables","Back stretches, Side leg raises, Core stability exercises",Maintain a healthy weight,Engage in gentle exercises,Use supportive footwear,Follow prescribed medications
Asthma,Wheezing,Shortness of breath,Chest tightness,Coughing,"Allergens, pollution, respiratory infections, exercise"," [""Salbutamol"", ""Fluticasone"", ""Montelukast""] ","Vitamin D-rich foods, leafy greens, antioxidant-rich fruits","Swimming, Stationary cycling, Resistance band exercises",Avoid triggers,Use inhalers as prescribed,Monitor breathing regularly,Keep environment dust-free
Bells Palsy,Facial drooping,Drooling,Loss of taste,Tearing,"Viral infections (e.g., herpes simplex virus)","   [""Prednisone"", ""Acyclovir"", ""Ibuprofen""] ","Vitamin B12-rich foods, fresh vegetables, lean proteins","Wall sits, Calf raises, Wrist stretches",Perform facial exercises,Protect eye on affected side,Maintain oral hygiene,Manage stress
Bronchial Asthma,Wheezing,Coughing,Chest tightness,Shortness of breath,"Allergens, air pollution, cold air, respiratory infections","   [""Salbutamol"", ""Budesonide"", ""Montelukast""] ","Magnesium-rich foods, fresh fruits, whole grains","Balance board exercises, Glute bridges, Bird-dogs",Stay away from allergens,Carry inhaler,Monitor breathing regularly,Keep environment dust-free
Bronchitis (Acute),Cough,Sore throat,Chest discomfort,Fatigue,"Viral or bacterial infections, smoking, air pollutants","  [""Amoxicillin-Clavulanate"", ""Azithromycin"", ""Salbutamol""] ","Warm broths, citrus fruits, herbal teas","Brisk walking, Elliptical training, Gentle yoga",Avoid smoking,Rest and stay hydrated,Use humidifiers,Follow doctor‚Äôs advice
COVID-19,Fever,Cough,Shortness of breath,Loss of taste/smell,SARS-CoV-2 virus infection," [""Paracetamol"", ""Ivermectin"", ""Favipiravir""] ","Protein-rich foods, hydration drinks, vitamin C-rich fruits","Swimming, Stationary cycling, Resistance band exercises",Wear masks,Wash hands regularly,Maintain social distancing,Stay home if unwell
Celiac Disease,Diarrhea,Bloating,Fatigue,Weight loss,Autoimmune response to gluten,"    [""Gluten-Free Diet"", ""Vitamin D Supplements"", ""Iron Supplements""] ","Gluten-free grains, fresh fruits, lean meats","Breathing exercises, Gentle walking, Relaxation techniques",Follow a gluten-free diet,Read food labels carefully,Prevent cross-contamination,Take nutritional supplements if needed
Cervical Spondylosis,Neck pain,Stiffness,Headache,Numbness in limbs,"Aging, wear and tear of cervical spine discs","  [""Ibuprofen"", ""Muscle Relaxants"", ""Gabapentin""] ","Calcium-rich foods, omega-3 fatty fish, leafy greens","Side steps, Arm presses, Breathing stretches",Maintain correct posture,Use ergonomic furniture,Perform neck exercises,Apply heat or cold packs
